id,type,dc\.identifier,broader,broaderTransitive,definition,inScheme,notation,note,prefLabel,semanticRelation,topConceptOf,seeAlso,narrower,narrowerTransitive,altLabel,hasTopConcept
https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/aanlegpeilput,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.aanlegpeilput,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/grondwatermonitoring,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/grondwatermonitoring,Boring voor de aanleg van een peilput.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,aanlegpeilput,Boring voor de aanleg van een peilput.,Boring voor de aanleg van een peilput,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/grondwatermonitoring,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/aanlegpeilputanalyses,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.aanlegpeilputanalyses,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/grondwatermonitoring,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/grondwatermonitoring,Boringen voor de aanleg van peilputten in het kader van bodem- en grondwateranalyses.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,aanlegpeilputanalyses,Boringen voor de aanleg van peilputten in het kader van bodem- en grondwateranalyses.,Boring voor aanleg van een peilput i.h.k.v. bodem- en grondwateranalyses,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/grondwatermonitoring,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype|https://navigator.emis.vito.be/detail?woId=70341&woLang=nl&version=(versie%202025-04-17),null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/aanlegpeilputinrichting,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.aanlegpeilputinrichting,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/grondwatermonitoring,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/grondwatermonitoring,Boring voor de aanleg van peilputten ter naleving van de milieuvoorwaarden voor de exploitatie van inrichtingen.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,aanlegpeilputinrichting,Boring voor de aanleg van peilputten ter naleving van de milieuvoorwaarden voor de exploitatie van inrichtingen.,Boring voor aanleg van een peilput i.h.k.v. milieuvoorwaarden voor de exploitatie van een inrichting,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/grondwatermonitoring,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype|https://navigator.emis.vito.be/detail?woId=70341&woLang=nl&version=(versie%202025-04-17),null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/aanlegpeilputverontreiniging,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.aanlegpeilputverontreiniging,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/monitoringvervuildesites,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/monitoringvervuildesites,Boring voor de aanleg van een peilput i.h.k.v. een bodemverontreinining.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,aanlegpeilputverontreiniging,Boring voor de aanleg van een peilput i.h.k.v. een bodemverontreinining.,Boring voor aanleg van een peilput i.h.k.v. bodemdecreet (milieuboring),https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/monitoringvervuildesites,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/archeologischonderzoek,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.archeologischonderzoek,null,null,"Boring met als doel 'archeologisch onderzoek'. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D4 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,archeologischonderzoek,"Boring met als doel 'archeologisch onderzoek'. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D4 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",Boring voor archeologisch onderzoek,null,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemaling,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.bemaling,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/drainagebemaling,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/drainagebemaling,Boring voor de aanleg van een bemaling uitgevoerd voor het permanent of tijdelijk verwijderen van water.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,bemaling,Boring voor de aanleg van een bemaling uitgevoerd voor het permanent of tijdelijk verwijderen van water.,Bemaling,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/drainagebemaling|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingbodemsaneringgrondwaterverlaging|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingpermanentexploitatiegebouwen|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingpermanentexploitatieterreinen|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingpermanentexploitatietunnels|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingpermanentmijnverzakkingsgebieden|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingtijdelijkrealisatienutsvoorzieningen|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingtijdelijkrealisatiewerken,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,null,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingbodemsaneringgrondwaterverlaging|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingpermanentexploitatiegebouwen|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingpermanentexploitatieterreinen|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingpermanentexploitatietunnels|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingpermanentmijnverzakkingsgebieden|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingtijdelijkrealisatienutsvoorzieningen|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingtijdelijkrealisatiewerken,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingbodemsaneringgrondwaterverlaging|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingpermanentexploitatiegebouwen|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingpermanentexploitatieterreinen|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingpermanentexploitatietunnels|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingpermanentmijnverzakkingsgebieden|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingtijdelijkrealisatienutsvoorzieningen|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingtijdelijkrealisatiewerken,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingbodemsanering,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.bemalingbodemsanering,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/sanering,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/sanering,"Boring voor de aanleg van een bemaling in het kader van sanering in een bodemsaneringsproject (BSP) met het oog om een verontreining niet te laten verspreiden. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D1 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,bemalingbodemsanering,"Boring voor de aanleg van een bemaling in het kader van sanering in een bodemsaneringsproject (BSP) met het oog om een verontreining niet te laten verspreiden. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D1 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",Bemaling i.h.k.v. bodemsanering - sanering,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/sanering,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingbodemsaneringgrondwaterverlaging,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.bemalingbodemsaneringgrondwaterverlaging,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemaling,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemaling|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/drainagebemaling,"Boring voor de aanleg van een bemaling in het kader van grondwaterverlaging in een bodemsaneringsproject (BSP). De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D1 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,bemalingbodemsaneringgrondwaterverlaging,"Boring voor de aanleg van een bemaling in het kader van grondwaterverlaging in een bodemsaneringsproject (BSP). De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D1 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",Bemaling i.h.k.v. bodemsanering - grondwaterverlaging,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemaling|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/drainagebemaling,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingbodemsaneringmitigatie,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.bemalingbodemsaneringmitigatie,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/sanering,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/sanering,"Boring voor de aanleg van een bemaling in het kader van mitigatie in een bodemsaneringsproject (BSP) met het oog om te saneneren, bijvoorbeeld via pump and treat methode. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D1 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,bemalingbodemsaneringmitigatie,"Boring voor de aanleg van een bemaling in het kader van mitigatie in een bodemsaneringsproject (BSP) met het oog om te saneneren, bijvoorbeeld via pump and treat methode. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D1 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",Bemaling i.h.k.v. bodemsanering - mitigatie,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/sanering,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemalingpermanentexploitatiegebouwen,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.bemalingpermanentexploitatiegebouwen,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemaling,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemaling|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/drainagebemaling,"Boring voor de aanleg van een permanente bronbemaling, met inbegrip van terugpompingen van onbehandeld en niet-verontreinigd grondwater in dezelfde watervoerende laag, die noodzakelijk is om het gebruik of de exploitatie van gebouwen mogelijk te maken of te houden. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D1 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,bemalingpermanentexploitatiegebouwen,"Boring voor de aanleg van een permanente bronbemaling, met inbegrip van terugpompingen van onbehandeld en niet-verontreinigd grondwater in dezelfde watervoerende laag, die noodzakelijk is om het gebruik of de exploitatie van gebouwen mogelijk te maken of te houden. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D1 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",Bemaling - permanent - exploitatie van gebouwen,https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/bemaling|https://data.bodemenondergrond.vlaanderen.be/id/concept/boringtype/drainagebemaling,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/boringtype,https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype,null,null,null,null
