type,uri,dc:identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf,seeAlso
skos:ConceptScheme,conceptscheme:boringtype,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.boringtype,,,Codelijst boringtype.,,,,,,,"Beschrijving van de type boring.",,,,,,,,,,,,,,
skos:Concept,concept:archeologischonderzoek,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.archeologischonderzoek,,archeologischonderzoek,Boring voor archeologisch onderzoek,,,,,,,"Boring met als doel 'archeologisch onderzoek'. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D4 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:berging,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.berging,,berging,Boring voor berging,,,,,,,"Boring met als doel 'berging' uitgevoerd voor onderzoek naar het vermogen van de ondergrond om diverse materialen op te slaan of voor de berging of veilige opslag van o.a. afval, gas, koolstofdioxide.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:boringtot100mopslagkernafval,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.boringtot100mopslagkernafval,,boringtot100mopslagkernafval,Boring tot 100 meter in verband met opslag kernafval,,concept:berging,,,,,"Boring in verband met de opslag van kernafval (berging), tot een diepte van 100 meter ten opzichte van het maaiveld. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens disciplines D3 en D4 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:boringvanaf100mopslagkernafval,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.boringvanaf100mopslagkernafval,,boringvanaf100mopslagkernafval,Boring vanaf 100 meter in verband met opslag kernafval,,concept:berging,,,,,"Boring in verband met de opslag van kernafval (berging), vanaf een diepte van 100 meter ten opzichte van het maaiveld. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D5 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://navigator.emis.vito.be/detail?woId=70344&woLang=nl&version=(versie%202025-04-17)|https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:boringvanaf500mopslagvergunningkoolstofdioxide,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.boringvanaf500mopslagvergunningkoolstofdioxide,,boringvanaf500mopslagvergunningkoolstofdioxide,Boring vanaf 500 meter i.h.k.v. een opslagvergunning voor koolstofdioxide,,concept:berging,,,,,"Boring vanaf een diepte van 500 meter ten opzichte van het maaiveld i.h.k.v. een opslagvergunning voor koolstofdioxide. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D5 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://navigator.emis.vito.be/detail?woId=70343&woLang=nl&version=(versie%202025-04-17)|https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:boringvanaf500mexploitatievergunninggasopslag,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.boringvanaf500mexploitatievergunninggasopslag,,boringvanaf500mexploitatievergunninggasopslag,Boring vanaf 500 meter i.h.k.v. een exploitatievergunning voor het opslaan van gas,,concept:berging,,,,,"Boring vanaf een diepte van 500 meter ten opzichte van het maaiveld in het kader van een exploitatievergunning van ondergrondse bergruimten in situ bestemd voor het opslaan van gas. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D5 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://navigator.emis.vito.be/detail?woId=70343&woLang=nl&version=(versie%202025-04-17)|https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:bodemkundigonderzoek,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.bodemkundigonderzoek,,bodemkundigonderzoek,Boring voor bodemkundig onderzoek,,,,,,,"Boring met als doel 'bodemkundig onderzoek'. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D4 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:drainagebemaling,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.drainagebemaling,,drainagebemaling,Drainage en bemaling,,,,,,,"Boring met als doel 'drainage en bemaling' uitgevoerd voor het permanent of tijdelijk draineren of verwijderen van water.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:bemaling,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.bemaling,,bemaling,Bemaling,,concept:drainagebemaling,,,,,"Boring voor de aanleg van een bemaling uitgevoerd voor het permanent of tijdelijk verwijderen van water.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
